Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1931,July,15.1,-9.00%,0.00%,01-07-1931
1931,August,15.1,-8.50%,0.00%,01-08-1931
1931,September,15,-9.60%,-0.70%,01-09-1931
1931,October,14.9,-9.70%,-0.70%,01-10-1931
1931,November,14.7,-10.40%,-1.30%,01-11-1931
1931,December,14.6,-9.30%,-0.70%,01-12-1931
1932,January,14.3,-10.10%,-2.10%,01-01-1932
1932,February,14.1,-10.20%,-1.40%,01-02-1932
1932,March,14,-10.30%,-0.70%,01-03-1932
1932,April,13.9,-10.30%,-0.70%,01-04-1932
1932,May,13.7,-10.50%,-1.40%,01-05-1932
1932,June,13.6,-9.90%,-0.70%,01-06-1932
1932,July,13.6,-9.90%,0.00%,01-07-1932
1932,August,13.5,-10.60%,-0.70%,01-08-1932
1932,September,13.4,-10.70%,-0.70%,01-09-1932
1932,October,13.3,-10.70%,-0.70%,01-10-1932
1932,November,13.2,-10.20%,-0.80%,01-11-1932
1932,December,13.1,-10.30%,-0.80%,01-12-1932
1933,January,12.9,-9.80%,-1.50%,01-01-1933
1933,February,12.7,-9.90%,-1.60%,01-02-1933
1933,March,12.6,-10.00%,-0.80%,01-03-1933
1933,April,12.6,-9.40%,0.00%,01-04-1933
1933,May,12.6,-8.00%,0.00%,01-05-1933
1933,June,12.7,-6.60%,0.80%,01-06-1933
1933,July,13.1,-3.70%,3.10%,01-07-1933
1933,August,13.2,-2.20%,0.80%,01-08-1933
1933,September,13.2,-1.50%,0.00%,01-09-1933
1933,October,13.2,-0.80%,0.00%,01-10-1933
1933,November,13.2,0.00%,0.00%,01-11-1933
1933,December,13.2,0.80%,0.00%,01-12-1933
1934,January,13.2,2.30%,0.00%,01-01-1934
1934,February,13.3,4.70%,0.80%,01-02-1934
1934,March,13.3,5.60%,0.00%,01-03-1934
1934,April,13.3,5.60%,0.00%,01-04-1934
1934,May,13.3,5.60%,0.00%,01-05-1934
1934,June,13.4,5.50%,0.80%,01-06-1934
1934,July,13.4,2.30%,0.00%,01-07-1934
1934,August,13.4,1.50%,0.00%,01-08-1934
1934,September,13.6,3.00%,1.50%,01-09-1934
1934,October,13.5,2.30%,-0.70%,01-10-1934
1934,November,13.5,2.30%,0.00%,01-11-1934
1934,December,13.4,1.50%,-0.70%,01-12-1934
1935,January,13.6,3.00%,1.50%,01-01-1935
1935,February,13.7,3.00%,0.70%,01-02-1935
1935,March,13.7,3.00%,0.00%,01-03-1935
1935,April,13.8,3.80%,0.70%,01-04-1935
1935,May,13.8,3.80%,0.00%,01-05-1935
1935,June,13.7,2.20%,-0.70%,01-06-1935
1935,July,13.7,2.20%,0.00%,01-07-1935
1935,August,13.7,2.20%,0.00%,01-08-1935
1935,September,13.7,0.70%,0.00%,01-09-1935
1935,October,13.7,1.50%,0.00%,01-10-1935
1935,November,13.8,2.20%,0.70%,01-11-1935
1935,December,13.8,3.00%,0.00%,01-12-1935
1936,January,13.8,1.50%,0.00%,01-01-1936
1936,February,13.8,0.70%,0.00%,01-02-1936
1936,March,13.7,0.00%,-0.70%,01-03-1936
1936,April,13.7,-0.70%,0.00%,01-04-1936
1936,May,13.7,-0.70%,0.00%,01-05-1936
1936,June,13.8,0.70%,0.70%,01-06-1936
1936,July,13.9,1.50%,0.70%,01-07-1936
1936,August,14,2.20%,0.70%,01-08-1936
1936,September,14,2.20%,0.00%,01-09-1936
1936,October,14,2.20%,0.00%,01-10-1936
1936,November,14,1.40%,0.00%,01-11-1936
1936,December,14,1.40%,0.00%,01-12-1936
1937,January,14.1,2.20%,0.70%,01-01-1937
1937,February,14.1,2.20%,0.00%,01-02-1937
1937,March,14.2,3.60%,0.70%,01-03-1937
